Survived,Age,Pclass
0,22,3
1,38,1
1,26,3
1,35,1
0,35,3
0,54,1
0,2,3
1,27,3
1,14,2
1,4,3
1,58,1
0,20,3
0,39,3
0,14,3
1,55,2
0,2,3
0,31,3
0,35,2
1,34,2
1,15,3
1,28,1
0,8,3
1,38,3
0,19,1
0,40,1
0,66,2
0,28,1
0,42,1
0,21,3
0,18,3
1,14,3
0,40,3
0,27,2
1,3,2
1,19,3
0,18,3
0,7,3
0,21,3
1,49,1
1,29,2
0,65,1
1,21,2
0,29,3
1,5,2
0,11,3
0,22,3
1,38,1
0,45,1
0,4,3
1,29,2
0,19,3
1,17,3
0,26,3
0,32,2
0,16,3
0,21,2
0,26,3
1,32,3
0,25,3
1,1,2
1,30,3
0,22,3
1,29,3
0,28,1
1,17,2
1,33,3
0,16,3
1,23,1
0,24,3
0,29,3
0,20,3
0,46,1
0,26,3
0,59,3
0,71,1
1,23,1
1,34,2
0,34,2
0,28,3
0,21,1
0,33,3
0,37,3
0,28,3
1,21,3
0,38,3
0,47,1
0,15,3
0,22,3
0,20,3
0,17,3
0,21,3
0,71,3
0,29,2
0,24,1
0,2,3
0,21,2
0,33,2
1,33,2
0,54,1
1,12,3
1,24,3
0,45,3
0,33,3
0,20,3
0,47,3
1,29,2
0,25,2
0,23,2
1,19,1
0,37,1
0,16,3
0,24,1
1,22,3
1,24,3
0,19,3
0,18,2
0,19,2
1,27,3
0,9,3
0,37,2
0,42,2
0,51,2
1,22,1
0,56,3
0,41,3
0,51,1
1,16,3
0,30,3
0,44,3
1,40,2
0,26,3
0,17,3
0,1,3
1,9,3
0,45,3
0,28,3
0,61,1
0,4,3
1,1,3
0,21,3
0,56,1
0,18,3
0,50,1
0,30,2
0,36,3
0,9,3
1,1,2
1,4,3
1,45,1
0,40,3
0,36,3
1,32,2
0,19,2
1,19,3
1,3,2
1,44,1
1,58,1
0,42,3
0,24,2
0,28,3
0,34,3
0,46,3
1,18,3
0,2,3
0,32,3
1,26,3
1,16,3
1,40,1
0,24,3
1,35,2
0,22,3
0,30,2
1,31,1
1,27,3
0,42,2
1,32,1
0,30,2
1,16,3
0,27,2
0,51,3
1,38,1
0,22,3
1,19,2
0,21,3
0,18,2
1,35,1
0,29,3
0,59,2
1,5,3
0,24,2
0,44,2
1,8,2
0,19,2
0,33,2
0,29,2
0,22,3
0,30,3
0,44,1
0,25,3
1,24,2
1,37,1
0,54,2
0,29,3
0,62,1
0,30,3
0,41,3
1,29,3
1,30,1
1,35,1
1,50,2
1,3,3
0,52,1
0,40,1
0,36,2
0,16,3
1,25,3
1,58,1
1,35,1
1,25,3
1,41,2
0,37,1
1,63,1
0,45,3
0,7,3
1,35,3
0,65,3
0,28,3
0,16,3
1,19,3
0,33,3
1,30,3
0,22,3
1,42,2
1,22,3
1,26,1
1,19,1
0,36,2
0,24,3
0,24,3
0,24,3
0,2,1
1,50,1
0,19,3
1,1,1
1,17,1
0,30,2
1,30,1
1,24,1
1,18,1
0,26,2
0,28,3
0,43,2
1,26,3
1,24,2
0,54,2
1,31,1
1,40,1
0,22,3
0,27,3
1,30,2
1,22,2
1,36,1
0,61,3
1,36,2
1,31,3
1,16,1
0,46,1
0,38,1
0,16,3
0,29,1
1,41,1
1,45,3
0,45,1
1,2,2
1,24,1
0,28,2
0,25,2
0,36,2
1,24,2
1,40,2
1,3,3
0,42,3
0,23,3
0,15,3
0,25,3
0,28,3
1,22,1
0,38,2
0,40,3
0,29,2
0,45,3
0,35,3
0,30,3
1,60,1
1,24,1
1,25,1
0,18,3
0,19,3
0,22,1
0,3,3
1,22,3
0,27,1
0,20,3
0,19,3
1,42,1
1,1,3
0,32,3
1,35,1
0,18,2
0,1,3
1,36,2
1,17,2
1,36,1
1,21,3
0,28,3
1,23,1
1,24,3
0,22,3
0,31,3
0,46,2
0,23,2
1,28,2
1,39,3
0,26,3
0,21,3
0,28,3
0,20,3
0,34,2
0,51,3
1,3,2
0,21,3
1,33,1
1,44,3
1,34,2
1,18,2
0,30,2
0,10,3
0,21,3
0,29,3
0,28,3
0,18,3
1,28,2
1,19,2
1,32,3
1,28,1
1,42,2
0,17,3
0,50,1
1,14,1
0,21,3
1,24,2
0,64,1
0,31,2
1,45,2
0,20,3
0,25,3
1,28,2
1,4,1
1,13,2
1,34,1
1,5,3
1,52,1
0,36,2
0,30,1
1,49,1
1,29,3
0,65,1
1,50,2
1,48,1
0,34,3
0,47,1
0,48,2
0,38,3
0,56,1
1,1,3
0,38,3
1,33,2
1,23,2
0,22,3
0,34,2
0,29,3
0,22,3
1,2,3
0,9,3
0,50,3
1,63,3
1,25,1
1,35,1
0,58,1
0,30,3
1,9,3
0,21,3
0,55,1
0,71,1
0,21,3
1,54,1
0,25,1
0,24,3
0,17,3
0,21,3
0,37,3
1,16,1
0,18,1
1,33,2
0,28,3
1,26,3
1,29,3
1,36,1
1,54,1
0,24,3
0,47,1
1,34,2
1,36,2
